docID,wordID,frequency,hitlist
11,0,1,"[[2, 0, 17]]"
11,1,3,"[[2, 0, 30], [2, 0, 212], [2, 0, 1400]]"
11,2,1,"[[2, 0, 34]]"
11,3,2,"[[2, 0, 39], [2, 0, 1308]]"
11,4,2,"[[2, 0, 46], [2, 0, 79]]"
11,5,1,"[[2, 0, 54]]"
11,6,1,"[[2, 0, 57]]"
11,7,1,"[[2, 0, 62]]"
11,8,6,"[[2, 0, 67], [2, 0, 132], [2, 0, 173], [2, 0, 214], [2, 0, 332], [2, 0, 828]]"
11,9,4,"[[2, 0, 70], [2, 0, 902], [2, 0, 1038], [2, 0, 1302]]"
11,10,4,"[[2, 0, 77], [2, 0, 353], [2, 0, 434], [2, 0, 665]]"
11,11,2,"[[2, 0, 89], [2, 0, 729]]"
11,12,1,"[[2, 0, 91]]"
11,13,1,"[[2, 0, 98]]"
11,14,1,"[[2, 0, 101]]"
11,15,2,"[[2, 0, 106], [2, 0, 698]]"
11,16,1,"[[2, 0, 109]]"
11,17,2,"[[2, 0, 125], [2, 0, 146]]"
11,18,2,"[[2, 0, 126], [2, 0, 147]]"
11,19,4,"[[2, 0, 127], [2, 0, 148], [2, 0, 163], [2, 0, 200]]"
11,20,1,"[[2, 0, 135]]"
11,21,3,"[[2, 0, 136], [2, 0, 337], [2, 0, 1358]]"
11,22,1,"[[2, 0, 138]]"
11,23,1,"[[2, 0, 140]]"
11,24,1,"[[2, 0, 142]]"
11,25,1,"[[2, 0, 171]]"
11,26,1,"[[2, 0, 182]]"
11,27,1,"[[2, 0, 220]]"
11,28,1,"[[2, 0, 238]]"
11,29,1,"[[2, 0, 239]]"
11,30,3,"[[2, 0, 244], [2, 0, 272], [2, 0, 285]]"
11,31,1,"[[2, 0, 254]]"
11,32,2,"[[2, 0, 259], [2, 0, 303]]"
11,33,1,"[[2, 0, 262]]"
11,34,1,"[[2, 0, 265]]"
11,35,1,"[[2, 0, 266]]"
11,36,1,"[[2, 0, 278]]"
