docID,wordID,frequency,hitlist
3249,0,5,"0, 524;0, 532;0, 601;0, 667;0, 1218"
3249,1,1,"0, 548"
3249,2,1,"0, 565"
3249,3,1,"0, 578"
3249,4,1,"0, 591"
3249,5,1,"0, 604"
3249,6,1,"0, 627"
3249,7,1,"0, 652"
3249,8,1,"0, 683"
3249,9,2,"0, 685;0, 976"
3249,10,1,"0, 942"
3249,11,1,"0, 946"
3249,12,2,"0, 948;0, 1144"
3249,13,7,"0, 952;0, 1063;0, 1081;0, 1083;0, 1111;0, 1238;0, 1326"
3249,14,1,"0, 954"
3249,15,1,"0, 974"
3249,16,2,"0, 986;0, 1211"
3249,17,4,"0, 1000;0, 1103;0, 1126;0, 1222"
3249,18,1,"0, 1007"
3249,19,1,"0, 1014"
3249,20,1,"0, 1037"
3249,21,1,"0, 1058"
3249,22,1,"0, 1093"
3249,23,2,"0, 1098;0, 1121"
3249,24,4,"0, 1105;0, 1123;0, 1162;0, 1198"
3249,25,1,"0, 1116"
3249,26,1,"0, 1128"
3249,27,1,"0, 1134"
3249,28,1,"0, 1142"
3249,29,1,"0, 1147"
3249,30,1,"0, 1153"
3249,31,1,"0, 1167"
3249,32,1,"0, 1196"
3249,33,1,"0, 1201"
3249,34,1,"0, 1228"
3249,35,1,"0, 1229"
3249,36,1,"0, 1251"
3249,37,1,"0, 1257"
3249,38,1,"0, 1491"
3249,39,1,"1, 1"
3249,40,1,"1, 2"
3250,41,1,"0, 12"
3250,42,1,"0, 16"
3250,43,1,"0, 366"
3250,44,1,"0, 400"
3250,45,1,"0, 553"
3250,46,1,"0, 734"
3250,47,1,"0, 1049"
3250,48,1,"0, 1050"
3250,49,1,"0, 1051"
3251,50,3,"0, 122;0, 266;0, 1727"
3251,51,5,"0, 123;0, 132;0, 212;0, 267;0, 1728"
3251,52,1,"0, 130"
3251,53,3,"0, 328;0, 381;0, 421"
3251,54,3,"0, 413;0, 490;0, 527"
3251,55,1,"0, 418"
3251,56,1,"0, 859"
3251,57,1,"0, 1476"
3251,58,1,"0, 1477"
3251,59,1,"1, 2"
3252,60,1,"0, 12"
3252,61,1,"0, 118"
3252,62,5,"0, 120;0, 197;0, 228;0, 258;0, 267"
3252,63,1,"0, 216"
3252,64,1,"0, 250"
3252,65,1,"0, 276"
3253,66,1,"0, 50"
3253,67,1,"0, 523"
3253,68,1,"0, 531"
3254,69,2,"0, 30;0, 392"
3254,70,7,"0, 159;0, 206;0, 377;0, 749;0, 767;0, 883;0, 1241"
3254,71,1,"0, 310"
3254,72,1,"0, 1061"
3255,73,1,"0, 770"
3255,74,1,"0, 823"
3255,75,1,"0, 1037"
3255,76,1,"0, 1324"
3256,77,8,"0, 140;0, 328;0, 825;0, 1092;0, 1150;0, 1200;0, 1393;0, 1445"
3256,78,2,"0, 251;0, 1011"
3256,79,3,"0, 349;0, 902;0, 1000"
3256,80,8,"0, 480;0, 523;0, 598;0, 1063;0, 1465;0, 1469;0, 1518;0, 1605"
3256,81,3,"0, 903;0, 1001;0, 1262"
3256,82,3,"0, 933;0, 997;0, 1259"
3256,83,2,"0, 1451;0, 1601"
3256,84,1,"1, 2"
3257,85,1,"0, 2"
3257,86,1,"0, 3"
3257,87,1,"0, 104"
3257,88,3,"0, 313;0, 735;0, 1136"
3257,89,5,"0, 351;0, 369;0, 729;0, 975;0, 1027"
3257,90,1,"0, 375"
3257,91,1,"0, 411"
3257,92,1,"0, 426"
3257,93,1,"0, 440"
3257,94,1,"0, 462"
3257,95,2,"0, 465;0, 1013"
3257,96,3,"0, 492;0, 498;0, 628"
3257,97,1,"0, 600"
3257,98,1,"0, 630"
3257,99,1,"0, 670"
3257,100,2,"0, 797;0, 820"
3257,101,1,"0, 800"
3257,102,1,"0, 802"
3257,103,1,"0, 854"
3257,104,1,"0, 917"
3257,105,2,"0, 994;0, 1132"
3257,106,1,"0, 1042"
3257,107,2,"0, 1069;0, 1084"
3257,108,2,"0, 1093;0, 1124"
3257,109,1,"0, 1172"
3257,110,3,"0, 1182;0, 1198;1, 1"
3258,111,1,"0, 23"
3259,112,1,"0, 22"
3259,113,2,"0, 129;0, 490"
3259,114,1,"0, 148"
3259,115,3,"0, 209;0, 749;0, 944"
3259,116,1,"0, 218"
3259,117,1,"0, 641"
3259,118,1,"0, 817"
3259,119,1,"0, 892"
3259,120,1,"0, 956"
3259,121,1,"0, 1082"
3259,122,1,"0, 1101"
3259,123,1,"0, 1243"
3259,124,1,"0, 1248"
3259,125,2,"0, 1399;0, 1568"
3259,126,1,"0, 1433"
3259,127,1,"0, 1862"
3260,128,1,"0, 151"
3260,129,1,"0, 300"
3260,130,1,"0, 300"
3260,131,1,"0, 303"
3260,132,2,"0, 392;0, 728"
3260,133,1,"0, 533"
3260,134,1,"0, 637"
3260,135,1,"0, 651"
3260,136,1,"0, 658"
3260,137,1,"0, 680"
3260,138,1,"0, 703"
3260,139,1,"0, 705"
3260,140,1,"0, 708"
3260,141,1,"0, 711"
3260,142,1,"0, 719"
3260,143,1,"1, 2"
3261,144,1,"0, 26"
3262,145,1,"0, 230"
3262,146,1,"1, 4"
3263,147,1,"0, 21"
3263,148,2,"0, 195;0, 229"
3263,149,1,"0, 238"
3263,150,1,"0, 283"
3263,151,2,"0, 434;0, 530"
3263,152,1,"0, 516"
3263,153,1,"0, 517"
3263,154,2,"0, 668;0, 687"
3263,155,1,"0, 677"
3263,156,1,"0, 806"
3263,157,1,"0, 807"
3263,158,1,"0, 857"
3263,159,1,"0, 993"
3263,160,1,"0, 1013"
3263,161,2,"0, 1014;0, 1064"
3263,162,1,"0, 1371"
3263,163,1,"0, 1616"
3263,164,1,"0, 1641"
3263,165,1,"2, 15"
3263,166,1,"1, 1"
3263,167,1,"1, 2"
3265,168,1,"0, 741"
3265,169,1,"0, 848"
3265,170,1,"0, 1001"
3265,171,1,"0, 1029"
3265,172,1,"0, 1354"
3266,173,1,"0, 471"
3266,174,1,"0, 592"
3266,175,1,"1, 2"
3267,176,2,"0, 31;0, 109"
3267,177,1,"0, 180"
3268,178,1,"0, 121"
3268,179,1,"0, 264"
3268,180,2,"0, 474;0, 507"
3268,181,2,"0, 478;0, 592"
3268,182,1,"0, 482"
3268,183,1,"0, 500"
3268,184,1,"0, 595"
3268,185,1,"0, 694"
3268,186,1,"0, 707"
3268,187,2,"0, 717;0, 3117"
3268,188,2,"0, 799;0, 1527"
3268,189,2,"0, 807;0, 1601"
3268,190,6,"0, 818;0, 1829;0, 1883;0, 1967;0, 2543;0, 3324"
3268,191,6,"0, 820;0, 1827;0, 1881;0, 1972;0, 2546;0, 3329"
3268,192,6,"0, 824;0, 1823;0, 1877;0, 1982;0, 2552;0, 3339"
3268,193,6,"0, 826;0, 1821;0, 1875;0, 1987;0, 2555;0, 3260"
3268,194,6,"0, 828;0, 1811;0, 1873;0, 1992;0, 2558;0, 3264"
3268,195,2,"0, 832;0, 1776"
3268,196,7,"0, 834;0, 1817;0, 1869;0, 2002;0, 2041;0, 2047;0, 3252"
3268,197,9,"0, 836;0, 1286;0, 1316;0, 1815;0, 1867;0, 2007;0, 2057;0, 2063;0, 3256"
3268,198,2,"0, 838;0, 1780"
3268,199,2,"0, 840;0, 1784"
3268,200,2,"0, 842;0, 1764"
3268,201,2,"0, 844;0, 1768"
3268,202,4,"0, 1260;0, 1307;0, 1347;0, 1373"
3268,203,1,"0, 1298"
3268,204,1,"0, 1306"
3268,205,1,"0, 1308"
3268,206,1,"0, 1310"
3268,207,1,"0, 1313"
3268,208,2,"0, 1523;0, 1748"
3268,209,1,"0, 1596"
3268,210,1,"0, 1646"
3268,211,1,"0, 1658"
3268,212,1,"0, 1730"
3268,213,1,"0, 1732"
3268,214,1,"0, 1734"
3268,215,29,"0, 1738;0, 2282;0, 2589;0, 2642;0, 2649;0, 2656;0, 2665;0, 2672;0, 2679;0, 2688;0, 2695;0, 2702;0, 2711;0, 2718;0, 2725;0, 2787;0, 2794;0, 2801;0, 2810;0, 2817;0, 2824;0, 2833;0, 2840;0, 2847;0, 2856;0, 2863;0, 2870;0, 3186;0, 3475"
