wordID,docIDs,frequencies,hitlists
0,5;16,3;1,"0, 267|0, 374|0, 378;0, 71"
1,5;7,1;1,"0, 277;0, 1395"
2,5;12,3;1,"0, 287|0, 581|0, 765;0, 514"
3,5,1,"0, 289"
4,5,1,"0, 292"
5,5,1,"0, 296"
6,5,1,"0, 299"
7,5,1,"0, 302"
8,5;7;8;17;18,1;2;1;1;1,"0, 316;0, 945|0, 1412;0, 61;0, 152;0, 71"
9,5;9;11,1;1;4,"0, 320;0, 914;0, 1322|0, 1330|0, 1372|0, 1412"
10,5;16,1;4,"0, 323;0, 108|0, 568|0, 645|0, 1040"
11,5,2,"0, 331|2, 1"
12,5;12,1;1,"0, 339;0, 214"
13,5;6;8;12;13;16;18,2;3;2;1;2;3;1,"0, 340|0, 928;0, 332|0, 571|0, 756;0, 1089|0, 1097;0, 249;0, 145|0, 201;0, 38|0, 354|0, 445;0, 227"
14,5,1,"0, 342"
15,5,4,"0, 348|0, 374|0, 378|0, 387"
16,5;11,2;1,"0, 352|0, 674;0, 737"
17,5,1,"0, 353"
18,5,1,"0, 360"
19,5;8;11,2;1;1,"0, 365|0, 602;0, 244;0, 1324"
20,5,2,"0, 368|0, 388"
21,5,1,"0, 370"
22,5,1,"0, 383"
23,5,1,"0, 386"
24,5,1,"0, 387"
25,5;6;7;8;11;17,1;3;2;2;1;1,"0, 396;0, 17|0, 180|0, 1207;0, 417|0, 577;0, 117|0, 1036;0, 230;0, 99"
26,5;18,1;1,"0, 412;0, 242"
27,5;8,1;1,"0, 423;0, 676"
28,5,1,"0, 428"
29,5,1,"0, 430"
30,5,1,"0, 433"
31,5;7;16,1;6;1,"0, 436;0, 150|0, 166|0, 189|0, 206|0, 296|0, 538;0, 52"
32,5;6,1;1,"0, 444;0, 1182"
33,5;15,1;1,"0, 446;0, 187"
34,5;11;14,2;2;4,"0, 454|0, 500;0, 754|0, 1145;0, 146|0, 345|0, 354|0, 393"
35,5,1,"0, 483"
36,5,1,"0, 485"
37,5;6,1;1,"0, 495;0, 1062"
38,5,1,"0, 502"
39,5,1,"0, 507"
40,5,1,"0, 508"
41,5,3,"0, 509|0, 537|0, 577"
42,5;16;19,1;1;1,"0, 520;0, 1587;0, 1784"
43,5;8;15,1;1;1,"0, 524;0, 565;0, 189"
44,5,1,"0, 529"
45,5;18,3;1,"0, 538|0, 718|0, 955;0, 454"
46,5;8;11,1;1;2,"0, 540;0, 814;0, 199|0, 892"
47,5;9,1;1,"0, 543;0, 963"
48,5,1,"0, 546"
49,5,1,"0, 556"
50,5,1,"0, 558"
51,5,1,"0, 563"
52,5;8,1;2,"0, 574;0, 312|0, 340"
53,5,3,"0, 606|0, 760|0, 792"
54,5,2,"0, 609|0, 640"
55,5;9,1;1,"0, 613;0, 954"
56,5;8;10;13;16,1;1;1;1;1,"0, 618;0, 1264;0, 482;0, 561;0, 849"
57,5,1,"0, 621"
58,5;7;10,1;1;1,"0, 623;0, 256;0, 91"
59,5,1,"0, 625"
60,5;14,1;4,"0, 647;3, 2|0, 160|0, 385|0, 819"
61,5,1,"0, 649"
62,5,1,"0, 652"
63,5;19,1;3,"0, 658;0, 462|0, 1687|0, 1716"
64,5,1,"0, 660"
65,5;6;18,1;2;1,"0, 663;0, 727|0, 828;0, 413"
66,5,2,"0, 670|0, 712"
67,5;7;11,1;1;2,"0, 678;0, 1115;0, 270|0, 845"
68,5;19,2;1,"0, 683|0, 706;0, 1517"
69,5;8;14;16,1;3;2;1,"0, 686;0, 940|0, 968|0, 972;0, 105|0, 752;0, 594"
70,5;9;10;14;16,2;1;2;2;7,"0, 688|0, 720;0, 1239;3, 2|0, 905;0, 757|0, 778;0, 333|0, 572|0, 673|0, 680|0, 869|0, 1022|0, 1067"
71,5;13,1;1,"0, 704;0, 1239"
72,5;8;9;10;14;17;18,1;2;1;3;1;1;1,"0, 720;0, 159|0, 1180;0, 840;0, 907|0, 956|0, 1022;0, 673;0, 37;0, 570"
73,5;19,1;3,"0, 727;0, 2059|0, 2066|0, 2082"
74,5,1,"0, 730"
75,5,1,"0, 733"
76,5;11;19,1;1;1,"0, 738;0, 1548;0, 2188"
77,5;7;11;13;14;15;19,1;1;1;1;2;1;2,"0, 742;0, 1202;0, 379;0, 256;0, 59|0, 151;0, 596;0, 1575|0, 1600"
78,5,1,"0, 744"
79,5,1,"0, 757"
80,5;10;11,1;1;1,"0, 769;0, 103;0, 796"
81,5;16,1;4,"0, 780;0, 782|0, 797|0, 809|0, 836"
82,5;12,1;1,"0, 781;3, 4"
83,5,1,"0, 786"
84,5;13,2;1,"0, 794|0, 946;0, 72"
85,5,1,"0, 796"
86,5;13,1;1,"0, 804;0, 563"
87,5,1,"0, 815"
88,5;6;13;14;16;19,1;1;1;2;1;2,"0, 819;0, 1337;0, 503;0, 450|0, 464;0, 602;0, 921|0, 1695"
89,5;10;11;14,2;2;3;1,"0, 833|0, 837;0, 836|0, 1056;0, 662|0, 688|0, 710;0, 663"
90,5,1,"0, 839"
