wordID,docIDs,frequencies,hitlists
0,11,1,"0, 216"
1,11,1,"0, 259"
2,11,1,"0, 279"
3,11,1,"0, 280"
4,11,3,"0, 286;0, 328;0, 343"
5,11,1,"0, 296"
6,11,2,"0, 306;0, 361"
7,11,1,"0, 312"
8,11,1,"0, 318"
9,11,1,"0, 321"
10,11,1,"0, 334"
11,11,1,"0, 340"
12,11,1,"0, 367"
13,11,1,"0, 387"
14,11,1,"0, 397"
15,11,1,"0, 409"
16,11,1,"0, 411"
17,11,2,"0, 414;0, 489"
18,11,2,"0, 415;0, 490"
19,11,2,"0, 418;0, 510"
20,11,1,"0, 440"
21,11,1,"0, 449"
22,11,1,"0, 453"
23,11,1,"0, 454"
24,11,1,"0, 468"
25,11,2,"0, 469;0, 874"
26,11,1,"0, 486"
27,11,1,"0, 493"
28,11,4,"0, 495;0, 518;0, 778;0, 1642"
29,11,1,"0, 501"
30,11,1,"0, 520"
31,11,1,"0, 535"
32,11,1,"0, 536"
33,11,1,"0, 540"
34,11,5,"0, 544;0, 559;0, 611;0, 638;0, 655"
35,11,3,"0, 551;0, 605;0, 643"
36,11,1,"0, 555"
37,11,1,"0, 567"
38,11,2,"0, 580;0, 1395"
39,11,1,"0, 589"
40,11,1,"0, 593"
41,11,2,"0, 594;0, 1289"
42,11,1,"0, 603"
43,11,1,"0, 629"
44,11,1,"0, 630"
45,11,1,"0, 645"
46,11,1,"0, 681"
47,11,1,"0, 704"
48,11,1,"0, 719"
49,11,1,"0, 738"
50,11,1,"0, 770"
51,11,1,"0, 780"
52,11,1,"0, 783"
53,11,2,"0, 823;0, 830"
54,11,3,"0, 824;0, 831;0, 1045"
55,11,3,"0, 829;0, 894;0, 1022"
56,11,1,"0, 841"
57,11,1,"0, 849"
58,11,1,"0, 850"
59,11,2,"0, 851;0, 857"
60,11,2,"0, 852;0, 858"
61,11,1,"0, 856"
62,11,1,"0, 863"
63,11,1,"0, 864"
64,11,1,"0, 866"
65,11,1,"0, 887"
66,11,1,"0, 890"
67,11,2,"0, 899;0, 914"
68,11,1,"0, 903"
69,11,2,"0, 905;0, 1244"
70,11,1,"0, 911"
71,11,1,"0, 924"
72,11,1,"0, 948"
73,11,1,"0, 959"
74,11,1,"0, 966"
75,11,1,"0, 975"
76,11,1,"0, 983"
77,11,1,"0, 991"
78,11,1,"0, 996"
79,11,1,"0, 1000"
80,11,1,"0, 1020"
81,11,1,"0, 1024"
82,11,2,"0, 1066;0, 1068"
83,11,1,"0, 1078"
84,11,1,"0, 1082"
85,11,1,"0, 1087"
86,11,3,"0, 1103;0, 1365;0, 1449"
87,11,1,"0, 1113"
88,11,1,"0, 1114"
89,11,1,"0, 1121"
90,11,3,"0, 1125;0, 1168;0, 1621"
91,11,1,"0, 1127"
92,11,1,"0, 1129"
93,11,1,"0, 1134"
94,11,1,"0, 1139"
95,11,1,"0, 1144"
96,11,1,"0, 1147"
97,11,1,"0, 1158"
98,11,2,"0, 1173;0, 1259"
99,11,2,"0, 1174;0, 1260"
100,11,3,"0, 1178;0, 1196;0, 1285"
101,11,1,"0, 1187"
102,11,1,"0, 1204"
103,11,1,"0, 1211"
104,11,1,"0, 1220"
105,11,1,"0, 1229"
106,11,1,"0, 1231"
107,11,1,"0, 1234"
108,11,2,"0, 1238;0, 1274"
109,11,1,"0, 1240"
110,11,1,"0, 1246"
111,11,1,"0, 1248"
112,11,1,"0, 1256"
113,11,1,"0, 1266"
114,11,4,"0, 1292;0, 1345;0, 1440;0, 1497"
115,11,1,"0, 1296"
116,11,1,"0, 1298"
117,11,1,"0, 1302"
118,11,1,"0, 1304"
119,11,1,"0, 1316"
120,11,1,"0, 1347"
121,11,2,"0, 1348;0, 1407"
122,11,1,"0, 1351"
123,11,1,"0, 1354"
124,11,1,"0, 1357"
125,11,1,"0, 1359"
126,11,1,"0, 1363"
127,11,1,"0, 1368"
128,11,1,"0, 1369"
129,11,1,"0, 1373"
130,11,1,"0, 1374"
131,11,1,"0, 1376"
132,11,1,"0, 1383"
133,11,1,"0, 1389"
134,11,1,"0, 1402"
135,11,1,"0, 1404"
136,11,1,"0, 1405"
137,11,1,"0, 1417"
138,11,1,"0, 1421"
139,11,1,"0, 1423"
140,11,1,"0, 1424"
141,11,1,"0, 1426"
142,11,1,"0, 1431"
143,11,1,"0, 1435"
144,11,1,"0, 1437"
145,11,1,"0, 1446"
146,11,1,"0, 1466"
147,11,1,"0, 1471"
148,11,1,"0, 1475"
149,11,2,"0, 1491;0, 1523"
150,11,1,"0, 1505"
151,11,1,"0, 1509"
152,11,1,"0, 1517"
153,11,1,"0, 1518"
154,11,1,"0, 1519"
155,11,1,"0, 1521"
156,11,1,"0, 1564"
157,11,1,"0, 1567"
158,11,1,"0, 1623"
159,11,1,"0, 1644"
160,11,1,"0, 1646"
161,11,1,"2, 13"
162,11,1,"1, 1"
163,11,1,"1, 2"
164,12,3,"0, 21;0, 160;0, 552"
101,12,2,"0, 28;0, 589"
165,12,2,"0, 31;0, 444"
166,12,2,"0, 36;0, 92"
167,12,1,"0, 38"
168,12,1,"0, 40"
169,12,1,"0, 51"
170,12,1,"0, 56"
171,12,1,"0, 71"
172,12,1,"0, 77"
173,12,1,"0, 98"
174,12,1,"0, 104"
175,12,9,"0, 122;0, 149;0, 291;0, 362;0, 395;0, 402;0, 407;0, 436;0, 560"
176,12,5,"0, 122;0, 291;0, 362;0, 395;0, 560"
177,12,2,"0, 140;0, 405"
178,12,5,"0, 144;0, 169;0, 224;0, 271;0, 578"
179,12,1,"0, 147"
180,12,4,"0, 151;0, 404;0, 409;0, 438"
181,12,3,"0, 155;0, 430;0, 550"
182,12,1,"0, 159"
183,12,1,"0, 171"
184,12,1,"0, 173"
185,12,1,"0, 175"
186,12,1,"0, 178"
187,12,6,"0, 182;0, 223;0, 320;0, 369;0, 373;0, 577"
188,12,2,"0, 198;0, 322"
189,12,2,"0, 199;0, 323"
190,12,1,"0, 235"
191,12,1,"0, 239"
192,12,1,"0, 263"
193,12,2,"0, 264;0, 394"
194,12,1,"0, 267"
195,12,1,"0, 273"
196,12,1,"0, 294"
197,12,1,"0, 303"
198,12,1,"0, 304"
199,12,1,"0, 313"
200,12,1,"0, 340"
201,12,1,"0, 351"
202,12,1,"0, 353"
203,12,1,"0, 355"
204,12,1,"0, 357"
205,12,1,"0, 360"
206,12,1,"0, 375"
207,12,1,"0, 386"
208,12,1,"0, 401"
209,12,1,"0, 413"
210,12,1,"0, 442"
211,12,1,"0, 461"
212,12,1,"0, 468"
213,12,3,"0, 470;0, 506;0, 520"
214,12,1,"0, 494"
215,12,1,"0, 511"
216,12,1,"0, 512"
217,12,1,"0, 515"
218,12,1,"0, 516"
219,12,1,"0, 518"
220,12,1,"0, 518"
221,12,1,"0, 543"
222,12,1,"0, 559"
223,12,1,"0, 561"
224,12,1,"0, 563"
225,12,1,"0, 580"
226,12,1,"0, 584"
227,12,1,"1, 1"
228,12,1,"1, 2"
229,13,3,"3, 1;0, 23;0, 76"
230,13,2,"3, 8;0, 494"
231,13,1,"0, 2"
232,13,2,"0, 14;0, 335"
233,13,9,"0, 15;0, 339;0, 632;0, 638;0, 976;0, 989;0, 1011;2, 8;2, 11"
234,13,1,"0, 22"
235,13,1,"0, 24"
236,13,1,"0, 26"
237,13,2,"0, 28;0, 375"
238,13,4,"0, 29;0, 402;0, 793;0, 960"
84,13,3,"0, 30;0, 403;0, 961"
239,13,1,"0, 32"
240,13,1,"0, 40"
90,13,1,"0, 43"
241,13,1,"0, 50"
242,13,1,"0, 51"
243,13,1,"0, 52"
244,13,1,"0, 58"
245,13,1,"0, 65"
246,13,1,"0, 70"
247,13,1,"0, 75"
191,13,1,"0, 79"
248,13,1,"0, 80"
249,13,1,"0, 81"
250,13,2,"0, 84;0, 358"
251,13,3,"0, 85;0, 261;0, 359"
252,13,1,"0, 88"
253,13,1,"0, 91"
254,13,1,"0, 94"
255,13,1,"0, 96"
256,13,1,"0, 97"
257,13,1,"0, 101"
258,13,1,"0, 106"
259,13,1,"0, 107"
260,13,1,"0, 114"
261,13,1,"0, 117"
262,13,1,"0, 118"
263,13,1,"0, 125"
264,13,1,"0, 126"
265,13,1,"0, 128"
266,13,1,"0, 131"
86,13,1,"0, 132"
267,13,1,"0, 135"
268,13,1,"0, 138"
269,13,1,"0, 139"
270,13,1,"0, 148"
271,13,1,"0, 149"
272,13,1,"0, 152"
273,13,2,"0, 153;0, 263"
274,13,1,"0, 155"
275,13,1,"0, 156"
276,13,1,"0, 158"
277,13,1,"0, 165"
278,13,2,"0, 167;0, 266"
279,13,1,"0, 175"
280,13,1,"0, 176"
281,13,1,"0, 177"
282,13,1,"0, 184"
283,13,1,"0, 193"
284,13,1,"0, 206"
285,13,1,"0, 209"
52,13,1,"0, 225"
286,13,1,"0, 230"
287,13,1,"0, 233"
288,13,1,"0, 237"
289,13,1,"0, 240"
290,13,1,"0, 242"
291,13,3,"0, 246;0, 275;0, 1129"
292,13,1,"0, 246"
293,13,1,"0, 249"
294,13,1,"0, 258"
295,13,1,"0, 259"
25,13,2,"0, 277;0, 851"
296,13,1,"0, 283"
