wordID,docID,frequency,hitlist
0,5546,4,"3, 10;0, 11;0, 77;0, 269"
1,5546,1,"0, 99"
2,5546,1,"0, 114"
3,5546,1,"0, 119"
4,5546,1,"0, 179"
5,5546,1,"0, 185"
6,5546,1,"0, 266"
7,5546,1,"0, 269"
8,5546,2,"0, 274;0, 277"
9,5546,2,"0, 274;0, 277"
10,5546,1,"0, 274"
11,5546,1,"0, 277"
12,5546,2,"0, 280;0, 283"
13,5546,2,"0, 280;0, 283"
14,5546,2,"0, 280;0, 283"
15,5546,1,"0, 280"
16,5546,1,"0, 283"
17,5546,1,"1, 1"
18,5546,1,"1, 2"
19,5547,1,"0, 40"
20,5547,1,"2, 4"
21,5547,1,"2, 7"
22,5547,1,"2, 10"
23,5547,1,"2, 13"
24,5548,3,"0, 1508;0, 1773;0, 1805"
25,5548,8,"0, 1641;0, 1651;0, 1808;0, 1813;0, 2188;0, 2191;0, 2252;0, 2300"
26,5548,2,"0, 1790;0, 1881"
27,5548,1,"0, 2339"
28,5548,1,"0, 2370"
29,5549,1,"0, 20"
30,5549,1,"0, 175"
31,5549,5,"0, 346;0, 439;0, 546;0, 691;0, 706"
32,5549,1,"0, 373"
33,5549,2,"0, 396;0, 992"
34,5549,2,"0, 560;0, 789"
35,5549,1,"0, 644"
36,5549,1,"0, 701"
37,5549,1,"0, 816"
38,5549,2,"0, 996;0, 1044"
39,5549,3,"0, 1127;0, 1192;0, 1229"
40,5549,1,"0, 1139"
41,5549,1,"0, 1203"
42,5550,1,"0, 143"
43,5550,1,"0, 557"
44,5550,1,"0, 959"
45,5551,1,"0, 16"
46,5551,1,"0, 285"
47,5551,1,"0, 288"
48,5551,1,"0, 311"
49,5551,1,"0, 361"
50,5551,1,"0, 717"
51,5552,1,"0, 550"
52,5553,1,"0, 123"
53,5554|5612,1|1,"0, 231|0, 925"
54,5554,1,"0, 531"
55,5554,1,"0, 534"
56,5555,1,"0, 752"
57,5556,1,"0, 3"
58,5557,6,"3, 1;0, 1;0, 71;0, 135;0, 679;0, 689"
59,5557,8,"3, 3;0, 21;0, 37;0, 54;0, 140;0, 267;0, 376;0, 681"
60,5557,1,"0, 167"
61,5557,1,"0, 178"
62,5558,34,"0, 1;0, 20;0, 43;0, 61;0, 133;0, 282;0, 311;0, 480;0, 754;0, 790;0, 944;0, 1092;0, 1117;0, 1262;0, 1393;0, 1532;0, 1608;0, 1654;0, 1872;0, 2028;0, 2194;0, 2237;0, 2304;0, 2358;0, 2372;0, 2519;0, 2592;0, 2771;0, 2897;0, 3018;0, 3139;0, 3172;0, 3291;0, 3384"
63,5558,1,"0, 166"
64,5558,1,"0, 175"
65,5558,2,"0, 355;0, 784"
66,5558,1,"0, 419"
67,5558,2,"0, 449;0, 2785"
68,5558,1,"0, 558"
69,5558,1,"0, 612"
70,5558,1,"0, 620"
71,5558,1,"0, 670"
72,5558,1,"0, 770"
73,5558,1,"0, 787"
74,5558,1,"0, 869"
75,5558,1,"0, 890"
76,5558,1,"0, 1177"
77,5558,2,"0, 1193;0, 1242"
78,5558,1,"0, 1200"
79,5558,1,"0, 1204"
80,5558,1,"0, 1226"
81,5558,1,"0, 1288"
82,5558,4,"0, 1290;0, 1353;0, 1385;0, 1417"
83,5558,1,"0, 1293"
84,5558,1,"0, 1387"
85,5558,1,"0, 1415"
86,5558,1,"0, 1467"
87,5558,1,"0, 1470"
88,5558,1,"0, 1490"
89,5558,2,"0, 1528;0, 2559"
90,5558,2,"0, 1600;0, 3400"
91,5558,1,"0, 1652"
92,5558,1,"0, 1676"
93,5558,1,"0, 1695"
94,5558,1,"0, 1696"
95,5558,1,"0, 1706"
96,5558,2,"0, 1818;0, 1862"
97,5558,1,"0, 1824"
98,5558,1,"0, 1834"
99,5558,1,"0, 1841"
100,5558,1,"0, 1889"
101,5558,1,"0, 1959"
102,5558,1,"0, 1960"
103,5558,1,"0, 1990"
104,5558,1,"0, 2117"
105,5558,1,"0, 2126"
106,5558,1,"0, 2128"
107,5558,1,"0, 2155"
108,5558,1,"0, 2160"
109,5558,1,"0, 2309"
110,5558,1,"0, 2310"
111,5558,1,"0, 2324"
112,5558,1,"0, 2326"
113,5558,1,"0, 2579"
114,5558,1,"0, 2759"
115,5558,1,"0, 2914"
116,5558,1,"0, 3070"
117,5558,1,"0, 3137"
118,5558,1,"0, 3147"
119,5558,1,"1, 2"
120,5559,1,"0, 39"
121,5559,4,"0, 87;0, 91;0, 138;0, 237"
122,5559,4,"0, 87;0, 91;0, 138;0, 237"
123,5559,4,"0, 89;0, 105;0, 120;0, 129"
124,5559,6,"0, 118;0, 122;0, 155;0, 178;0, 181;0, 212"
